tconst	directors
tt0046593	nm0308376
tt0046593	nm0066439
tt0046593	nm0370749
tt0046593	nm0314671
tt0046593	nm0666777
tt0046593	nm0123273
tt0046593	nm0454790
tt0046593	nm0266144
tt0046593	nm0928782
tt0046593	nm0318795
tt0046593	nm0568535
tt0046593	nm1914472
tt0046593	nm0629363
tt0046593	nm0202297
tt0046593	nm0326360
tt0046593	nm0002137
tt0046593	nm0445650
tt0046593	nm0562251
tt0046593	nm0528927
tt0046593	nm0625379
tt0046593	nm0664515
tt0046593	nm0039300
tt0046593	nm0589253
tt0046593	nm0149548
tt0046593	nm0376101
tt0046593	nm0589023
tt0046593	nm0907822
tt0046593	nm0572132
tt0046593	nm0934578
tt0046593	nm0743093
tt0046593	nm0054374
