tconst	averageRating	numVotes
tt0064173	8.5	11
tt0064174	7.5	30
tt0064184	7.3	13
tt0064214	8.5	21
tt0064304	7.1	40
tt0064314	6.8	5
tt0064367	9	5
tt0064404	6.6	7
tt0064468	7.9	152
tt0064475	7.5	109
tt0064525	7.8	13
tt0064636	7.9	84
tt0064648	6.2	116
tt0064678	5	5
tt0064692	7.9	35
tt0064705	6.1	121
tt0064725	7.6	1531
tt0065017	8.2	70
tt0065074	6.9	7
tt0065087	8	287
tt0065098	7	42
tt0065141	6.6	37
tt0065158	8.6	25
tt0065190	8.5	6
tt0065232	7.5	20
tt0065303	7.8	184
tt0065317	6.9	2648
tt0065327	8	4682
tt0065357	7.5	53
tt0065381	7.8	464
tt0065404	8	21
tt0065487	7.2	22
tt0065608	8.1	73
tt0065609	7	10
tt0065682	7.3	13
tt0065689	9	8
tt0065697	7.2	10
tt0065725	7.2	6
tt0065745	6.8	5
tt0065811	7.9	56
tt0065822	6.2	12
tt0065860	8.8	11
tt0065937	7.4	9
tt0065971	8	24
tt0065982	7.3	40
tt0066000	7.4	95
tt0066003	6.8	5
tt0066028	5.5	8
tt0066084	6.1	12
tt0066235	6.7	141
tt0066254	8.7	46
tt0066257	6.8	5
tt0066281	4	5
tt0066625	7.6	1645
tt0066631	7.6	147
tt0066681	8.1	402
tt0066705	7	49
tt0066921	8.3	746571
tt0068646	9.2	1587870
tt0068767	7.4	26044
tt0068935	7.3	31611
tt0069946	6.1	2656
tt0070034	7.7	95120
tt0070723	7.1	56473
tt0070849	7	49101
tt0071129	7.9	39228
tt0071877	7.3	54793
tt0072308	7	38749
tt0072562	8.1	42104
tt0072684	8.1	146904
tt0074802	5.5	1955
tt0074958	8.1	143057
tt0076085	8.1	11497
tt0076759	8.6	1212844
tt0077269	7	25265
tt0077594	6.1	16805
tt0077800	4.1	1664
tt0077975	7.5	110627
tt0078723	5.8	31013
tt0078788	8.4	596733
tt0080388	7.3	14880
tt0080455	7.9	180301
tt0080979	8	31630
tt0082031	6.9	25592
tt0082846	7.6	27224
tt0083922	8.1	56716
tt0085101	7.9	8001
tt0087803	7.1	65474
tt0089881	8.2	110304
tt0091763	8.1	375933
tt0096320	6.1	112509
tt0100802	7.5	298027
tt0102122	3.1	590
tt0110138	3.6	212
tt0117057	6.6	15387
tt0117631	7.7	50821
tt0117731	7.6	116735
tt0119488	8.2	525212
tt0120338	7.8	1030313
tt0120647	6.2	162406
tt0120663	7.4	297714
tt0120746	6.7	167290
tt0161126	8.2	115
tt0165592	7.6	223
tt0165593	7.3	91
tt0168387	7.9	26
tt0190181	7.8	119
tt0200358	7.2	150
tt0212698	7.9	25
tt0212699	7.4	29
tt0217931	6.4	5
tt0233023	7.7	54
tt0242203	8.8	50
tt0242211	8.9	54
tt0259792	8.5	71
tt0260607	6.8	10
tt0297530	7.2	5
tt0297621	6.4	50
tt0298665	7	38
tt0320048	8.3	40
tt0341798	7.8	18
tt0348926	8.7	6
tt0383216	5.7	80697
tt0396335	5.2	6
tt0398430	6.7	10
tt0403808	7.4	13
tt0407402	6	6
tt0441950	7.7	35
tt0453991	8.3	12
tt0499549	7.8	1107137
tt0793361	8.5	66
tt0797756	8.4	14
tt0806910	7.1	2365
tt0815352	8.6	56
tt0914702	7.5	49
tt0958966	8	10
tt0959862	7.2	8
tt0969924	7	13
tt0989125	8	70
tt0990935	8.9	50
tt1077047	7	7
tt1157603	8.7	49
tt1245421	8.2	9
tt1314953	8.3	7
tt1342999	6	6
tt1384817	6.8	8
tt1415092	6.8	57
tt1646046	7.8	8
tt1711895	6.6	7
tt2199914	6.6	7
